t,err_pos_m,err_yaw_rad,gt_x,gt_y,est_x,est_y
21.939999999999998,8.158686908410064e-07,3.915784671660173e-07,0.00019200164670341024,8.111912750408123e-07,0.00019191488149010116,-5.0685445728712964e-11
21.95999999999998,8.543824504517087e-07,3.9267229859195205e-07,0.00019235477257950606,8.126877948377853e-07,0.0001920912855965885,-5.0774120813423885e-11
22.0,8.559050814637217e-07,3.93344320864336e-07,0.00019270790947079064,8.141843736986232e-07,0.0001924441020725789,-5.095169826517955e-11
22.039999999999992,8.196731384687835e-07,3.9325880343602616e-07,0.00019288448204779485,8.149326844453242e-07,0.00019279692956749835,-5.112957873181665e-11
22.059999999999974,8.58189184891679e-07,3.943520816470232e-07,0.00019323763546363892,8.164293516799148e-07,0.00019297334744770324,-5.1218632585189923e-11
22.099999999999994,8.597120253179376e-07,3.950237397648253e-07,0.000193590799900889,8.179260766461027e-07,0.00019332619147483844,-5.1396967510485046e-11
22.139999999999986,8.379288407145869e-07,3.953167498544936e-07,0.00019385568046281776,8.190486591175272e-07,0.0001936790465261629,-5.157560536615337e-11
22.159999999999997,8.38693997840167e-07,3.956524880815353e-07,0.00019403227094816344,8.197970657874976e-07,0.00019385547818649845,-5.166503788243819e-11
22.19999999999999,8.6351949327092e-07,3.9670224737865014e-07,0.00019447375922077015,8.216681464112696e-07,0.0001942083497778266,-5.18441300707026e-11
22.23999999999998,8.272836625748277e-07,3.966167441127514e-07,0.00019465035935350983,8.224166045955883e-07,0.00019456123239843738,-5.202352510468727e-11
22.25999999999999,8.65804224044779e-07,3.9770891591506225e-07,0.0001950035678905948,8.239135644849682e-07,0.0001947376778453759,-5.211333617851701e-11
22.299999999999983,8.440504971817809e-07,3.98001641564853e-07,0.00019526848153184062,8.250363228157198e-07,0.00019509057701380317,-5.229318541848882e-11
22.339999999999975,8.455810544289377e-07,3.9867250160359094e-07,0.00019562170937348355,8.265333857337964e-07,0.00019544348721663247,-5.2473337420155853e-11
22.359999999999985,8.696125243605361e-07,3.993859715055169e-07,0.0001958866374964785,8.276562208919813e-07,0.00019561994645665818,-5.2563526946048196e-11
22.399999999999977,8.711359895010138e-07,4.0005653938006007e-07,0.00019623988464800846,8.291533863946654e-07,0.00019597287321510866,-5.274413302685951e-11
22.439999999999998,8.494076958947964e-07,4.0034901614994785e-07,0.00019650482725630525,8.302762979361944e-07,0.00019632581101314812,-5.2925041784959283e-11
22.45999999999998,8.734213419499305e-07,4.010621192046082e-07,0.00019676977607474555,8.313992432285033e-07,0.00019650228405272146,-5.301560965765969e-11
22.5,8.749450137199442e-07,4.0173232422527344e-07,0.00019712305082464354,8.328965552806267e-07,0.000196855238414074,-5.3196972368719885e-11
22.539999999999992,8.532346952153859e-07,4.020246231292605e-07,0.00019738801413460294,8.340195774003689e-07,0.00019720820382031242,-5.337863767264006e-11
22.559999999999974,8.772306755027811e-07,4.0273735971877524e-07,0.00019765298365737038,8.351426323827127e-07,0.0001973846906658424,-5.3469583786516965e-11
22.599999999999994,8.787545521858009e-07,4.034072009962794e-07,0.00019800628601984727,8.366400896520076e-07,0.00019773767264310522,-5.365170291698784e-11
22.639999999999986,8.570620493069427e-07,4.036993226896643e-07,0.00019827127004035106,8.377632210176955e-07,0.00019809066567031815,-5.383412455598796e-11
22.659999999999997,8.810405202091755e-07,4.044116927596272e-07,0.0001985362602772156,8.388863852459849e-07,0.00019826716632830225,-5.392544880575477e-11
22.69999999999999,8.825646020238695e-07,4.0508117189185384e-07,0.00019888959026292952,8.403839895088083e-07,0.00019862017593432675,-5.41083241447655e-11
