t,err_pos_m,err_yaw_rad,gt_x,gt_y,est_x,est_y
82.20000000000005,0.659487894591692,0.00037847210921904134,-0.9989079098185072,-2.2097991587399255,-0.6540449379625651,-2.771932429197804
82.23000000000002,0.6617497905440144,0.00010670791522393586,-0.9921551963896471,-2.2182477410973216,-0.6473957601551624,-2.783096142362942
82.25999999999999,0.6640059527735037,2.9453276322310984e-06,-0.9841308963776636,-2.227778038060751,-0.6398668570827256,-2.7955686478518795
82.30000000000007,0.6664828592209798,0.0003187092401042424,-0.9727501471276443,-2.2413534853384114,-0.6294178485024788,-2.8125997845440454
82.33000000000004,0.6678535555138436,0.00010918624306421877,-0.9640443587063063,-2.252191503847774,-0.6214185770795783,-2.8254592819211246
82.36000000000001,0.6728562426707708,0.000697904217017431,-0.9581158547405804,-2.2601067846126197,-0.6135299518900383,-2.838030723256542
82.39999999999998,0.6679388132480345,1.3545655149771463e-05,-0.9443646233800158,-2.2812406448690625,-0.6027407385551232,-2.8552052601201607
82.43000000000006,0.6681943729123518,0.00011022292154705404,-0.9366409325890097,-2.293916117481393,-0.5947113996345759,-2.8679961767808724
82.46000000000004,0.6684030125314061,8.847417098278854e-05,-0.9289246828623909,-2.306550712179204,-0.5867364912968164,-2.8807195276978987
82.5,0.6686771886714122,4.135623573575665e-05,-0.9186213526061082,-2.323359892914028,-0.5761377053380732,-2.897671771603201
82.52999999999997,0.6686973392857988,0.00010995764770571624,-0.9107129063605375,-2.3360611164913943,-0.5682107018914053,-2.9103853903138504
82.56000000000006,0.6687087616771926,8.644077796549077e-05,-0.9028274856091931,-2.3487851709373193,-0.560287608444015,-2.923100276515702
82.60000000000002,0.6687085791852894,8.543749531986224e-05,-0.8922664764576775,-2.365793061257045,-0.5496991032316098,-2.940091553921792
82.63,0.6687191608852343,0.0001099084346312118,-0.8843275472546446,-2.378514955981357,-0.541762122261661,-2.952826931944273
82.65999999999997,0.6687179964389875,0.00010285773823914823,-0.8763936982892542,-2.3912440060915854,-0.5338293061352858,-2.9655552422602294
82.70000000000005,0.668712953070906,9.411021713923162e-06,-0.8658113395045155,-2.4082224686131966,-0.5232498601531018,-2.9825295697963377
82.73000000000002,0.6687072655726696,0.000109906537166804,-0.8578742507496848,-2.420958054181183,-0.5153151465853143,-2.9952599496889207
82.75999999999999,0.6687059210523119,3.487767964882593e-05,-0.8499354999764788,-2.433687875166732,-0.5073800808613644,-3.0079904031824887
82.80000000000007,0.6686997770246219,1.3470516193159199e-05,-0.8393498153835917,-2.4506655772751027,-0.49679964020080974,-3.0249640791667796
82.83000000000004,0.6686953093117716,0.00010990570876878714,-0.8314112504870099,-2.4633993421940152,-0.4888639145093694,-3.037694335477247
82.86000000000001,0.668691447724151,3.987891143553135e-05,-0.8234755827796758,-2.476134143157754,-0.4809279295472402,-3.050424450863162
82.89999999999998,0.6686920934312766,3.718253156126395e-05,-0.8128910591222804,-2.4931012363067993,-0.4703480781226346,-3.067395082682833
82.93000000000006,0.6686955685324059,0.00010992112594321313,-0.8049663871393427,-2.5058300146922896,-0.46241346586052573,-3.0801219783294504
82.96000000000004,0.6687002922631262,6.483832068782114e-05,-0.7970568849042956,-2.518569187934526,-0.4544765416862407,-3.0928502944611034
